road_width(m),number_of_floor,number_of_bedroom,area(m2),address,price(vnd)
5m,2 lầu,2 phòng ngủ, 100 m2,"Đường Trần Văn Dư, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",10 triệu 
5m,2 lầu,3 phòng ngủ, 80 m2,"Đường Châu Thị Vĩnh Tế, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",16 triệu 
2m,1 lầu,2 phòng ngủ, 194 m2,"Đường Thanh Hải, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng",7 triệu 
"3,5m",2 lầu,3 phòng ngủ, 50 m2,"Đường Lý Tự Trọng, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng","7,5 triệu "
"2,5m",0,2 phòng ngủ, 50 m2,"Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng",4 triệu 
"2,5m",1 lầu,2 phòng ngủ, 40 m2,"Đường Hùng Vương, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",5 triệu 
"6,5m",3 lầu,5 phòng ngủ, 100 m2,"Đường Lê Hữu Trác, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",16 triệu 
3m,1 lầu,1 phòng ngủ, 100 m2,"Đường Lê Trọng Tấn, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng","3,5 triệu "
3m,3 lầu,3 phòng ngủ, 46 m2,"Đường Trần Phú, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng",10 triệu 
3m,3 lầu,5 phòng ngủ, 80 m2,"Đường Trưng Nữ Vương, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",9 triệu 
"5,5m",2 lầu,2 phòng ngủ, 70 m2,"Đường Phạm Nhữ Tăng, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng","5,5 triệu "
4m,4 lầu,7 phòng ngủ, 200 m2,"Đường Trần Cao Vân, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",30 triệu 
3m,3 lầu,3 phòng ngủ, 63 m2,"Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng",15 triệu 
4m,4 lầu,4 phòng ngủ, 60 m2,"Đường Trần Quốc Toản, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng",12 triệu 
"2,5m",2 lầu,3 phòng ngủ, 85 m2,"Đường Lê Hữu Trác, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",7 triệu 
3m,1 lầu,2 phòng ngủ, 80 m2,"Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",6 triệu 
2m,3 lầu,3 phòng ngủ, 148 m2,"Đường Mai Lão Bạng, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng",6 triệu 
